TradeID,Ticker,EntryDate,DayIndex,CloseDate,Day0_Close,Day1_Close,Day2_Close,Day3_Close,Day4_Close,Day5_Close,Close,CumReturnFromEntry,RunningMaxReturn,DrawdownFromPeak
1,HOMEFIRST,2024-07-01,0,2024-07-02,1095.1107177734375,1118.039794921875,1065.402587890625,1052.4427490234375,1046.0126953125,1036.4422607421875,1095.1107177734375,0.0,0.0,0.0
1,HOMEFIRST,2024-07-01,1,2024-07-03,1095.1107177734375,1118.039794921875,1065.402587890625,1052.4427490234375,1046.0126953125,1036.4422607421875,1118.039794921875,0.020937679429397393,0.020937679429397393,0.0
1,HOMEFIRST,2024-07-01,2,2024-07-04,1095.1107177734375,1118.039794921875,1065.402587890625,1052.4427490234375,1046.0126953125,1036.4422607421875,1065.402587890625,-0.027127969255213435,0.020937679429397393,-0.04806564868461083
1,HOMEFIRST,2024-07-01,3,2024-07-05,1095.1107177734375,1118.039794921875,1065.402587890625,1052.4427490234375,1046.0126953125,1036.4422607421875,1052.4427490234375,-0.03896224195189313,0.020937679429397393,-0.05989992138129052
1,HOMEFIRST,2024-07-01,4,2024-07-08,1095.1107177734375,1118.039794921875,1065.402587890625,1052.4427490234375,1046.0126953125,1036.4422607421875,1046.0126953125,-0.04483384343161467,0.020937679429397393,-0.06577152286101207
1,HOMEFIRST,2024-07-01,5,2024-07-09,1095.1107177734375,1118.039794921875,1065.402587890625,1052.4427490234375,1046.0126953125,1036.4422607421875,1036.4422607421875,-0.05357308268385297,0.020937679429397393,-0.07451076211325036
2,PRAJIND,2024-07-01,0,2024-07-02,729.4163818359375,718.941650390625,716.2495727539062,717.718017578125,704.6978759765625,729.9058227539062,729.4163818359375,0.0,0.0,0.0
2,PRAJIND,2024-07-01,1,2024-07-03,729.4163818359375,718.941650390625,716.2495727539062,717.718017578125,704.6978759765625,729.9058227539062,718.941650390625,-0.014360428016365168,0.0,-0.014360428016365168
2,PRAJIND,2024-07-01,2,2024-07-04,729.4163818359375,718.941650390625,716.2495727539062,717.718017578125,704.6978759765625,729.9058227539062,716.2495727539062,-0.018051156253017564,0.0,-0.018051156253017564
2,PRAJIND,2024-07-01,3,2024-07-05,729.4163818359375,718.941650390625,716.2495727539062,717.718017578125,704.6978759765625,729.9058227539062,717.718017578125,-0.016037978511488582,0.0,-0.016037978511488582
2,PRAJIND,2024-07-01,4,2024-07-08,729.4163818359375,718.941650390625,716.2495727539062,717.718017578125,704.6978759765625,729.9058227539062,704.6978759765625,-0.033888059652785185,0.0,-0.033888059652785185
2,PRAJIND,2024-07-01,5,2024-07-09,729.4163818359375,718.941650390625,716.2495727539062,717.718017578125,704.6978759765625,729.9058227539062,729.9058227539062,0.0006710034627093187,0.0006710034627093187,0.0
3,DMART,2024-07-01,0,2024-07-02,4773.85009765625,4792.89990234375,4768.10009765625,4853.10009765625,4851.5498046875,4806.35009765625,4773.85009765625,0.0,0.0,0.0
3,DMART,2024-07-01,1,2024-07-03,4773.85009765625,4792.89990234375,4768.10009765625,4853.10009765625,4851.5498046875,4806.35009765625,4792.89990234375,0.003990448861570295,0.003990448861570295,0.0
3,DMART,2024-07-01,2,2024-07-04,4773.85009765625,4792.89990234375,4768.10009765625,4853.10009765625,4851.5498046875,4806.35009765625,4768.10009765625,-0.001204478540879017,0.003990448861570295,-0.005194927402449312
3,DMART,2024-07-01,3,2024-07-05,4773.85009765625,4792.89990234375,4768.10009765625,4853.10009765625,4851.5498046875,4806.35009765625,4853.10009765625,0.0166008564112452,0.0166008564112452,0.0
3,DMART,2024-07-01,4,2024-07-08,4773.85009765625,4792.89990234375,4768.10009765625,4853.10009765625,4851.5498046875,4806.35009765625,4851.5498046875,0.016276109522039173,0.0166008564112452,-0.000324746889206029
3,DMART,2024-07-01,5,2024-07-09,4773.85009765625,4792.89990234375,4768.10009765625,4853.10009765625,4851.5498046875,4806.35009765625,4806.35009765625,0.006807922187576976,0.0166008564112452,-0.009792934223668226
4,GARFIBRES,2024-07-02,0,2024-07-03,789.73681640625,788.9572143554688,787.2501220703125,788.730224609375,773.1296997070312,764.9791870117188,789.73681640625,0.0,0.0,0.0
4,GARFIBRES,2024-07-02,1,2024-07-04,789.73681640625,788.9572143554688,787.2501220703125,788.730224609375,773.1296997070312,764.9791870117188,788.9572143554688,-0.000987166907488124,0.0,-0.000987166907488124
4,GARFIBRES,2024-07-02,2,2024-07-05,789.73681640625,788.9572143554688,787.2501220703125,788.730224609375,773.1296997070312,764.9791870117188,787.2501220703125,-0.003148763340239613,0.0,-0.003148763340239613
4,GARFIBRES,2024-07-02,3,2024-07-08,789.73681640625,788.9572143554688,787.2501220703125,788.730224609375,773.1296997070312,764.9791870117188,788.730224609375,-0.0012745914537143355,0.0,-0.0012745914537143355
4,GARFIBRES,2024-07-02,4,2024-07-09,789.73681640625,788.9572143554688,787.2501220703125,788.730224609375,773.1296997070312,764.9791870117188,773.1296997070312,-0.021028672279444383,0.0,-0.021028672279444383
4,GARFIBRES,2024-07-02,5,2024-07-10,789.73681640625,788.9572143554688,787.2501220703125,788.730224609375,773.1296997070312,764.9791870117188,764.9791870117188,-0.03134921518182787,0.0,-0.03134921518182787
5,HINDCOPPER,2024-07-03,0,2024-07-04,323.37335205078125,327.6321716308594,338.9725036621094,344.2712707519531,330.7519836425781,330.6033935546875,323.37335205078125,0.0,0.0,0.0
5,HINDCOPPER,2024-07-03,1,2024-07-05,323.37335205078125,327.6321716308594,338.9725036621094,344.2712707519531,330.7519836425781,330.6033935546875,327.6321716308594,0.013169976910804237,0.013169976910804237,0.0
5,HINDCOPPER,2024-07-03,2,2024-07-08,323.37335205078125,327.6321716308594,338.9725036621094,344.2712707519531,330.7519836425781,330.6033935546875,338.9725036621094,0.048238828315323,0.048238828315323,0.0
5,HINDCOPPER,2024-07-03,3,2024-07-09,323.37335205078125,327.6321716308594,338.9725036621094,344.2712707519531,330.7519836425781,330.6033935546875,344.2712707519531,0.06462473969682625,0.06462473969682625,0.0
5,HINDCOPPER,2024-07-03,4,2024-07-10,323.37335205078125,327.6321716308594,338.9725036621094,344.2712707519531,330.7519836425781,330.6033935546875,330.7519836425781,0.022817685950319522,0.06462473969682625,-0.04180705374650673
5,HINDCOPPER,2024-07-03,5,2024-07-11,323.37335205078125,327.6321716308594,338.9725036621094,344.2712707519531,330.7519836425781,330.6033935546875,330.6033935546875,0.022358185849435275,0.06462473969682625,-0.042266553847390975
