feature,Touched+2%_mean,Touched+2%_median,Touched+2%_std,Never+2%_mean,Never+2%_median,Never+2%_std,mean_diff,median_diff,abs_mean_diff,abs_median_diff,pooled_std,score
volatility_5d,0.02959588785154971,0.0280718407275654,0.014381720912215814,0.027995044593125497,0.0255630561689797,0.013769335944981396,0.0016008432584242137,0.002508784558585702,0.0016008432584242137,0.002508784558585702,0.01407885841896676,0.11370546510803207
rsi_normalized,-0.35767679576008665,-0.3962264058482012,0.29927632072753835,-0.3896385445876339,-0.44958860161435593,0.3147281047599229,0.031961748827547265,0.05336219576615475,0.031961748827547265,0.05336219576615475,0.3070994106750983,0.10407622943075451
volume_ratio,1.2588935366891916,1.0918850566316465,0.8403950221808427,1.3457210220652027,1.1184631423284819,0.9103227856605115,-0.08682748537601115,-0.026578085696835396,0.08682748537601115,0.026578085696835396,0.876056895241129,0.09911169668152746
volatility_20d,0.028688415769167246,0.027732386864005,0.008941974522040362,0.027961649459945045,0.026224357713210147,0.008925024508362696,0.0007267663092222001,0.0015080291507948533,0.0007267663092222001,0.0015080291507948533,0.008933503535223281,0.08135287852115425
up_days_10,0.37228584516720115,0.4,0.14173406419453036,0.3608819345661451,0.4,0.14536094869742278,0.011403910601056055,0.0,0.011403910601056055,0.0,0.1435589606386763,0.07943712096329152
volume_trend,1.0482993184962952,0.9930035118925238,0.388437489837712,1.0678623731460821,1.0203719209468232,0.4172100192825021,-0.019563054649786915,-0.02736840905429938,0.019563054649786915,0.02736840905429938,0.40308056496259426,0.048533857252751694
hl_range,0.053545092243569174,0.0484339200933485,0.024365584204772597,0.05250287860852896,0.0467532909442363,0.024832976230768012,0.001042213635040215,0.0016806291491121977,0.001042213635040215,0.0016806291491121977,0.024600390262328697,0.042365734102619235
up_days_5,0.3441136051305543,0.4,0.2188357355849366,0.3369843527738265,0.4,0.22194153891699236,0.007129252356727789,0.0,0.007129252356727789,0.0,0.22039410820827665,0.032347744603239414
price_vs_ma50,-0.10448807168820017,-0.128599731928819,0.11071025964663908,-0.10094898508256893,-0.12143622230252316,0.11097814367191143,-0.0035390866056312364,-0.007163509626295833,0.0035390866056312364,0.007163509626295833,0.11084428258572848,0.03192845396392552
ret_20d,-0.09233890318989302,-0.1272664970496761,0.13334019075805714,-0.08836954979760743,-0.1219717810838474,0.1344769281342752,-0.003969353392285588,-0.0052947159658287,0.003969353392285588,0.0052947159658287,0.1339097656480402,0.02964200066689968
ret_3d,-0.0357987435804799,-0.0455103676806116,0.06009871272653357,-0.03410542508044626,-0.041720521612598455,0.05635411492846783,-0.0016933185000336387,-0.0037898460680131432,0.0016933185000336387,0.0037898460680131432,0.05825650839501698,0.02906659732308778
ma5_vs_ma20,-0.05182968561186066,-0.0555145994039027,0.048544009329672164,-0.053193210184997224,-0.05661284851935435,0.04834941526847631,0.0013635245731365639,0.0010982491154516508,0.0013635245731365639,0.0010982491154516508,0.04844681000129352,0.028144774546670533
price_vs_ma5,-0.024028193132915238,-0.0313665214118764,0.04007877924701074,-0.022951914386869544,-0.0276715134354577,0.03702964949401829,-0.001076278746045694,-0.003695007976418703,0.001076278746045694,0.003695007976418703,0.038584345838568186,0.0278941807813594
ma10_vs_ma50,-0.060166206774402584,-0.0730177991580218,0.09377331761060873,-0.057850948294787555,-0.06567436907716201,0.09312487262859996,-0.002315258479615029,-0.007343430080859789,0.002315258479615029,0.007343430080859789,0.09344965756436206,0.024775462159879684
ret_5d,-0.05504285992112321,-0.0699687430168737,0.06899346151813392,-0.053415107840307015,-0.06726320489515066,0.06332309267750574,-0.0016277520808161972,-0.0027055381217230418,0.0016277520808161972,0.0027055381217230418,0.06621899953373732,0.02458134474540866
ret_1d,-0.01017485046253572,-0.013932056485104,0.03897851003203841,-0.009444074660407482,-0.0120336485309167,0.036188086787681185,-0.0007307758021282383,-0.0018984079541872999,0.0007307758021282383,0.0018984079541872999,0.037609186840920024,0.019430778596423993
bb_position,-0.6085994703984146,-0.7806899637768847,0.5871977955395301,-0.6189927154482979,-0.7874477558868695,0.5874343171784083,0.01039324504988337,0.006757792109984839,0.01039324504988337,0.006757792109984839,0.5873160682653535,0.01769617007565245
ret_10d,-0.0865497842001708,-0.0981036020729975,0.076362538452304,-0.08747214227189301,-0.101073081365474,0.07375928757759848,0.0009223580717222096,0.0029694792924764984,0.0009223580717222096,0.0029694792924764984,0.07507219785924239,0.012286280217415731
price_vs_ma20,-0.07406609666172542,-0.0899249932748207,0.06893339812533825,-0.07447288772798989,-0.09195172391025225,0.0661845957285784,0.0004067910662644697,0.002026730635431545,0.0004067910662644697,0.002026730635431545,0.06757297569613811,0.006020025846925852
gap,0.0015938282550582749,0.0011093025142189,0.02335941865361501,0.0016393570322761606,0.00114622065900915,0.01717599390903789,-4.552877721788573e-05,-3.6918144790250036e-05,4.552877721788573e-05,3.6918144790250036e-05,0.02050216094218075,0.0022206817674294004
