feature,HighConf Winner_mean,HighConf Winner_median,HighConf Winner_std,HighConf Loser_mean,HighConf Loser_median,HighConf Loser_std,mean_diff,median_diff,abs_mean_diff,abs_median_diff,pooled_std,score
rsi_normalized,-0.34884973823126564,-0.3813693121681882,0.29956277861617076,-0.3949499357778782,-0.45255649071696535,0.31109177809846383,0.04610019754661254,0.07118717854877715,0.04610019754661254,0.07118717854877715,0.3053816896383154,0.15095927149480673
up_days_10,0.37618059159315,0.4,0.14008798694466787,0.3581227436823105,0.3,0.1462843919270727,0.018057847910839475,0.10000000000000003,0.018057847910839475,0.10000000000000003,0.14321970431418096,0.126084939717101
volatility_5d,0.029715536820489538,0.0283766684777871,0.014543354069438966,0.028102897969184193,0.025651781449471597,0.013665710522852596,0.0016126388513053452,0.0027248870283155015,0.0016126388513053452,0.0027248870283155015,0.014111356980876628,0.11427949411323521
ma5_vs_ma20,-0.049866625649969736,-0.0533112036977181,0.04750787503094207,-0.055259247643385224,-0.05834487072377505,0.04940955641490245,0.005392621993415489,0.005033667026056947,0.005392621993415489,0.005033667026056947,0.048468043364019955,0.11126139014221664
volume_ratio,1.2539085085908013,1.0946145555629552,0.833744812263345,1.3381267458253343,1.1017895404040985,0.9070888022476015,-0.08421823723453303,-0.007174984841143317,0.08421823723453303,0.007174984841143317,0.8711889884344926,0.09667045641750006
price_vs_ma20,-0.07204772105451435,-0.0883375381695695,0.06771443555613049,-0.07675042760893577,-0.09299204899243095,0.0679628443069529,0.004702706554421426,0.004654510822861446,0.004702706554421426,0.004654510822861446,0.06783875363306902,0.06932182909102258
volume_trend,1.0465437129422903,0.9930035118925238,0.3806294336108917,1.0668845812761796,1.0191751401974098,0.42122539535851405,-0.02034086833388926,-0.026171628304886063,0.02034086833388926,0.026171628304886063,0.4014409043843718,0.050669645422439645
ret_10d,-0.08521764852779924,-0.09689627019492,0.07373010599324624,-0.08887461024680221,-0.10213809238768745,0.07714916365965171,0.0036569617190029685,0.005241822192767448,0.0036569617190029685,0.005241822192767448,0.07545900205793557,0.048462894695219375
up_days_5,0.34571873378308254,0.4,0.21826577348330617,0.33622141997593263,0.4,0.22206701880473745,0.00949731380714991,0.0,0.00949731380714991,0.0,0.2201745997101954,0.04313537427348734
gap,0.002010186618283066,0.0016023688412147,0.024927087164833706,0.0011495989499043485,0.0007115353052717501,0.01566712735117691,0.0008605876683787175,0.0008908335359429499,0.0008605876683787175,0.0008908335359429499,0.020818484022152202,0.04133767022254487
volatility_20d,0.02857101372418517,0.0276779945351977,0.009040016148841742,0.028209715594626962,0.026446822795042,0.00882384960924467,0.0003612981295582074,0.0012311717401557003,0.0003612981295582074,0.0012311717401557003,0.008932586800526676,0.0404471960003466
bb_position,-0.6026532937975418,-0.7747560837800687,0.5911909061649246,-0.6242861038821798,-0.7943806737423842,0.5825675048004977,0.02163281008463791,0.01962458996231553,0.02163281008463791,0.01962458996231553,0.5868950439310178,0.03685975928997761
ret_20d,-0.08861899536298003,-0.124809566610525,0.13186307032993203,-0.09329398833604692,-0.12446356239141304,0.1359695632387117,0.004674992973066894,-0.00034600421911196166,0.004674992973066894,0.00034600421911196166,0.13393205636471542,0.03490570566191069
ret_1d,-0.009431248707934338,-0.01259458871964,0.03906747483686007,-0.010418803412791172,-0.013622676180972099,0.03651829518789726,0.0009875547048568342,0.001028087461332098,0.0009875547048568342,0.001028087461332098,0.037814372092890125,0.026115855535431703
ma10_vs_ma50,-0.05822835515349789,-0.0703759883252926,0.09139512785763555,-0.06045440572214302,-0.07049915408925655,0.0959249057866851,0.0022260505686451312,0.00012316576396395607,0.0022260505686451312,0.00012316576396395607,0.09368739762181988,0.023760405362847615
ret_3d,-0.03575994625326818,-0.0452180974594444,0.060559444238077124,-0.03441123253263976,-0.04232125378496435,0.05638260788079423,-0.0013487137206284194,-0.0028968436744800513,0.0013487137206284194,0.0028968436744800513,0.05850831034077199,0.02305166034912646
ret_5d,-0.05507408945704314,-0.0699802696613499,0.06790145869014312,-0.053629623614657944,-0.06721056390553459,0.06556637514207118,-0.0014444658423851953,-0.0027697057558153104,0.0014444658423851953,0.0027697057558153104,0.0667441294853713,0.021641840741363577
price_vs_ma50,-0.10201569775493961,-0.126517681426273,0.10773996837516944,-0.10436070032952122,-0.1254658796290061,0.11429266243073383,0.0023450025745816033,-0.0010518017972669103,0.0023450025745816033,0.0010518017972669103,0.11106465115190384,0.021113851519332438
price_vs_ma5,-0.023872544356913373,-0.0313459152293571,0.04040221451705065,-0.023298161408736747,-0.02798614943347355,0.03711667901921215,-0.0005743829481766258,-0.0033597657958835472,0.0005743829481766258,0.0033597657958835472,0.03879424441393982,0.014805880151756592
hl_range,0.0531291422954094,0.0478934311584136,0.024440155757763017,0.05314568380749057,0.04761590149296905,0.024687521128306345,-1.6541512081164056e-05,0.0002775296654445522,1.6541512081164056e-05,0.0002775296654445522,0.02456414982168413,0.000673400525881886
