Strategy,Portfolio_Return_%,Max_Drawdown_%,Win_Rate_%,Total_Trades
<<<<<<< Updated upstream
Champion (5-day hold),12.909717222593448,-16.12683846582401,57.03703703703704,810
Take-Profit +3%,-6.149488969020648,-18.016172100209925,67.90123456790124,810
=======
Champion (5-day hold),25.00301801488413,-10.575761393226667,64.38848920863309,278
Take-Profit +3%,-4.268486426410615,-16.15565354437227,70.86330935251799,278
>>>>>>> Stashed changes
