Model,Strategy,CAGR,Sharpe,Max Drawdown,Win Rate,Avg Trade Ret,Total Trades
XGBClassifier,Top-5,0.12904502472190793,0.6226967619121099,-0.22414277775990954,0.484640522875817,0.0023598894152626147,3060
XGBClassifier,Top-10,0.19018131405044447,0.8467201891713968,-0.24201549809255674,0.4857843137254902,0.002974710366971278,6120
XGBClassifier,Top-20,0.16037177981953943,0.7437715369817585,-0.24201549809255674,0.4841503267973856,0.003499376845192417,12240
XGBClassifier,Top-5%,0.17988815146328885,0.8192749694836319,-0.24201549809255674,0.4793301246126459,0.003138950055479409,15167
XGBClassifier,Top-10%,0.194507810104253,0.8730535594830625,-0.24201549809255674,0.48480801335559265,0.0028093862402333407,29950
XGBRanker,Top-5,0.2590955163865847,0.9412941093576037,-0.3385965097238832,0.4928104575163399,0.005091790362834943,3060
XGBRanker,Top-10,0.2636614376284865,0.9659317425306271,-0.35934455139975574,0.4923202614379085,0.004247730403919363,6120
XGBRanker,Top-20,0.25384937939865937,0.9412188718619521,-0.3585090871468982,0.4939542483660131,0.004623180625461095,12240
XGBRanker,Top-5%,0.25384937939865937,0.9412188718619521,-0.3585090871468982,0.4936375024724731,0.004422726826320064,15167
XGBRanker,Top-10%,0.25518368491351806,0.9496911198759981,-0.36238048075680407,0.491686143572621,0.004093060411228806,29950
