Threshold,Signals,Trades,WinRate,AvgNetReturn,PortfolioReturn,MaxDrawdown
<<<<<<< Updated upstream
0.55,48334,48334,50.827574792071836,0.5522179497043639,3.8775809826377516,-30.57897971203142
0.6,17602,17602,55.27780933984775,1.222244769991653,1.6728436332915444,-26.956127122105343
0.65,7065,7065,57.15498938428875,1.512181677256808,52.966531786830515,-20.471391486944267
0.7,2742,2742,55.032822757111596,1.2779189382412262,27.73601144063525,-17.47362672437983
0.75,810,810,57.03703703703704,1.3113980459008792,12.909717222593448,-16.12683846582401
=======
0.55,18878,18878,49.682169721368794,0.3650770922526786,-38.13259692801031,-50.58263322192752
0.6,7732,7732,53.82824624935334,0.988172485652056,15.638359279873054,-22.86027801330146
0.65,2929,2929,56.06008876749744,1.3009069966161495,38.583035170248884,-14.858787828918485
0.7,988,988,56.2753036437247,1.327210775633823,14.470594949666104,-12.779869971539137
0.75,278,278,64.38848920863309,2.586561226946115,25.00301801488413,-10.575761393226667
>>>>>>> Stashed changes
