Bucket,Trades,WinRate,PredictionSuccessRate,AvgNetReturn,AvgPredReturn
50-55%,0.0,0.0,0.0,0.0,0.0
55-60%,0.0,0.0,0.0,0.0,0.0
60-65%,0.0,0.0,0.0,0.0,0.0
65-70%,0.0,0.0,0.0,0.0,0.0
70-75%,0.0,0.0,0.0,0.0,0.0
75-80%,248.0,63.306451612903224,69.35483870967742,0.022128153227412663,0.02824956002419355
80-85%,40.0,60.0,80.0,0.021501777744620226,0.036936248500000005
85-90%,3.0,0.0,33.33333333333333,-0.03279284547393397,0.04147414733333333
90%+,0.0,0.0,0.0,0.0,0.0
