Ticker,Signal Date,Entry Price,Highest High,Lowest Low,Final Close,MFE (%),MAE (%),Peak Day,Bottom Day
BEML,2024-08-06,2012.4278564453125,2051.168234060789,1779.8863994723365,1795.377685546875,1.9250567165128727,-11.555269235028863,2024-08-08,2024-08-14
LICHSGFIN,2024-08-07,620.629150390625,640.3146619226909,607.3922532093691,638.3267211914062,3.171863828773722,-2.1328191195860846,2024-08-16,2024-08-12
AAVAS,2024-10-04,1727.300048828125,1814.949951171875,1690.0,1728.050048828125,5.074387765068118,-2.1594423535986675,2024-10-14,2024-10-07
NATIONALUM,2024-10-04,198.07456970214844,214.26045853643103,184.3497266662388,208.83135986328125,8.17161378092194,-6.929129295369996,2024-10-14,2024-10-08
MPHASIS,2024-10-04,2818.138671875,2920.640555975935,2785.490850107992,2904.561767578125,3.6372193151424024,-1.1584888313989943,2024-10-07,2024-10-08
MOIL,2024-10-04,349.79412841796875,378.1296643505257,345.0554086374889,367.9752807617188,8.100632237799834,-1.354716787817998,2024-10-07,2024-10-08
MIDHANI,2024-10-04,363.8123779296875,385.997259843692,358.7386965349887,373.7607421875,6.09789090746442,-1.3945873484489717,2024-10-07,2024-10-07
MAXHEALTH,2024-10-04,915.34375,977.1723535514172,910.9487972065028,946.1581420898438,6.754686810437854,-0.48014232833262566,2024-10-09,2024-10-07
M&M,2024-10-04,3035.81005859375,3194.6340872194346,2959.126093654679,3129.755126953125,5.231685301789111,-2.5259803300932617,2024-10-10,2024-10-07
LTTS,2024-10-04,5062.25048828125,5210.012250461779,4926.540589279532,5192.79638671875,2.9188947193069033,-2.680821490676473,2024-10-14,2024-10-07
KIOCL,2024-10-04,347.1499938964844,388.0,342.20001220703125,377.1499938964844,11.767249552565618,-1.4258913370250974,2024-10-09,2024-10-08
IRFC,2024-10-04,139.9888153076172,150.9861775931885,137.23460368921317,146.77731323242188,7.855886387355487,-1.9674511941198989,2024-10-09,2024-10-08
IOLCP,2024-10-04,84.20655059814453,89.01361772659116,82.28567461428472,83.58251190185547,5.7086617303530245,-2.28114792758432,2024-10-07,2024-10-14
INOXWIND,2024-10-04,208.13999938964844,229.4499969482422,204.0,214.8600006103516,10.238300000520502,-1.9890455471262651,2024-10-09,2024-10-08
HUDCO,2024-10-04,201.4839324951172,222.80020844998936,197.89130848471476,214.5994415283203,10.57964061496008,-1.7830821375741692,2024-10-09,2024-10-07
HOMEFIRST,2024-10-04,1236.1741943359375,1379.0320925010287,1184.3346017938018,1210.802734375,11.556453679396963,-4.193550777848387,2024-10-09,2024-10-14
GRSE,2024-10-04,1518.4508056640625,1765.8908577261716,1481.776564785991,1676.302978515625,16.295559338446687,-2.4152406348148223,2024-10-10,2024-10-07
GNFC,2024-10-04,610.54345703125,642.631524701714,600.2984311040076,626.007568359375,5.255656628684773,-1.6780174792239282,2024-10-10,2024-10-07
GARFIBRES,2024-10-04,763.6943359375,802.2464394623363,732.5880309337631,794.0501098632812,5.048106514697441,-4.073135486274264,2024-10-11,2024-10-07
GALAXYSURF,2024-10-04,2785.870849609375,3009.932613308155,2753.5933876975087,2883.792724609375,8.042790775107077,-1.1586130030540422,2024-10-10,2024-10-08
FORTIS,2024-10-04,579.3648071289062,621.7646627420321,573.3219658487222,596.9939575195312,7.318334681604514,-1.0430114507869133,2024-10-10,2024-10-07
FACT,2024-10-04,849.86474609375,947.2763149999992,838.0694194344608,918.3876953125,11.462008437693628,-1.3879063360969286,2024-10-10,2024-10-08
EASEMYTRIP,2024-10-04,16.045000076293945,17.375,15.800000190734863,16.719999313354492,8.289186147596807,-1.5269547173207108,2024-10-10,2024-10-07
DMART,2024-10-04,4544.14990234375,4752.89990234375,4139.9501953125,4183.60009765625,4.5938185246118834,-8.894946595462766,2024-10-07,2024-10-14
DIXON,2024-10-04,13503.740234375,15291.195304377832,13344.061298610726,15258.259765625,13.236740628738566,-1.182479320490752,2024-10-14,2024-10-07
DEVYANI,2024-10-04,173.00999450683594,183.88999938964844,169.91000366210938,179.27000427246094,6.288656856978636,-1.7917987070995927,2024-10-11,2024-10-07
NBCC,2024-10-04,114.33788299560548,118.25674277191142,108.95807957706992,111.7614974975586,3.427437760463482,-4.705180188391567,2024-10-07,2024-10-08
NEOGEN,2024-10-04,2006.922607421875,2214.3906027881026,1975.042995458503,2080.57568359375,10.337618132307767,-1.5884823782181197,2024-10-10,2024-10-07
NETWORK18,2024-10-04,74.0,82.0,72.51000213623047,79.0999984741211,10.81081081081081,-2.0135106267155827,2024-10-11,2024-10-08
NFL,2024-10-04,114.12142181396484,124.64192987252564,111.56264702159277,118.07769012451172,9.21869697322104,-2.2421511682033426,2024-10-10,2024-10-07
ZEEL,2024-10-04,122.373291015625,129.48542605514578,121.67374841515748,127.53250885009766,5.811836047306009,-0.571646471760087,2024-10-07,2024-10-08
YATHARTH,2024-10-04,534.3499755859375,640.2999877929688,525.0499877929688,636.0,19.82783139287179,-1.7404300959817425,2024-10-14,2024-10-07
WESTLIFE,2024-10-04,881.979736328125,915.9442697527888,856.2065801004039,873.5385131835938,3.8509426039724723,-2.922193692909587,2024-10-10,2024-10-07
VSTIND,2024-10-04,338.623046875,371.497622588322,334.12031487566344,361.1365966796875,9.708310174604673,-1.3297181160261395,2024-10-11,2024-10-07
VINDHYATEL,2024-10-04,2211.65087890625,2285.8161645875125,2014.6849464339984,2119.32763671875,3.3533902836391705,-8.90583293913274,2024-10-07,2024-10-09
VEDL,2024-10-04,458.8196411132813,471.2003433042885,444.4214225995347,457.7650451660156,2.6983810372560777,-3.1380998596334546,2024-10-07,2024-10-08
TORNTPOWER,2024-10-04,1755.3067626953125,1936.0124986668725,1710.6791444163048,1892.6529541015625,10.29482366341951,-2.542439830316669,2024-10-09,2024-10-08
TIINDIA,2024-10-04,4014.43310546875,4301.948520946416,3919.0271024855297,4220.064453125,7.1620427573196155,-2.376574736125293,2024-10-09,2024-10-07
TEXRAIL,2024-10-04,187.84564208984372,206.78839313297075,183.60739705933975,204.9876251220703,10.084211074786074,-2.2562381449748443,2024-10-14,2024-10-08
TATAPOWER,2024-10-04,438.7179565429688,475.1038013319011,436.1331933259364,459.5950927734375,8.293675753699993,-0.5891628501828219,2024-10-10,2024-10-07
TATACOMM,2024-10-04,1950.877197265625,2065.565033248639,1906.539188521268,1922.648681640625,5.878782946654041,-2.2727216662587346,2024-10-07,2024-10-14
DABUR,2024-10-04,557.9003295898438,569.4130246927749,550.6497572636014,555.8427124023438,2.063575605233115,-1.2996178603394697,2024-10-07,2024-10-07
SYRMA,2024-10-04,408.1944274902344,420.62140632944136,399.9596703652253,414.9319458007813,3.0443773854566607,-2.0173614754224176,2024-10-07,2024-10-07
SONACOMS,2024-10-04,668.8782348632812,687.7428761821749,650.2116651335251,653.6776123046875,2.8203401360113873,-2.7907276327464268,2024-10-07,2024-10-14
SJVN,2024-10-04,114.39436340332033,123.60407910104526,112.8141718267254,115.47045135498048,8.05084745762711,-1.3813544038211432,2024-10-07,2024-10-08
SAPPHIRE,2024-10-04,347.79998779296875,374.9500122070313,343.20001220703125,356.6499938964844,7.806217759335825,-1.3225922217903237,2024-10-11,2024-10-08
RVNL,2024-10-04,447.94476318359375,496.5869705270075,422.9046821817279,466.5884704589844,10.858974440890464,-5.589993021439341,2024-10-09,2024-10-08
RPOWER,2024-10-04,48.400001525878906,49.70000076293945,43.13999938964844,43.52999877929688,2.6859487522235983,-10.867772666118633,2024-10-10,2024-10-14
RECLTD,2024-10-04,462.1877746582031,508.57752940944425,447.35601423558205,499.3364562988281,10.036993035038034,-3.209033478566033,2024-10-10,2024-10-08
RAINBOW,2024-10-04,1371.468017578125,1419.1230568059511,1336.4877706891602,1403.10498046875,3.474746666858492,-2.5505696407515477,2024-10-09,2024-10-07
PRAJIND,2024-10-04,724.5614624023438,783.8432707472484,701.6582361923648,757.4354858398438,8.181750123495515,-3.1609776945687083,2024-10-10,2024-10-08
