Ticker,Status,Rows,EarliestDate,LatestDate,MissingValues,ErrorMessage
UCOBANK,Downloaded,1372,2021-01-01,2026-07-17,0,
UNOMINDA,Downloaded,1372,2021-01-01,2026-07-17,0,
UPL,UpToDate,1372,2021-01-01,2026-07-17,0,Already up to date
UTIAMC,Downloaded,1372,2021-01-01,2026-07-17,0,
ULTRACEMCO,UpToDate,1372,2021-01-01,2026-07-17,0,Already up to date
UNIONBANK,Downloaded,1372,2021-01-01,2026-07-17,0,
UBL,Downloaded,1372,2021-01-01,2026-07-17,0,
UNITDSPR,Downloaded,1372,2021-01-01,2026-07-17,0,
URBANCO,Downloaded,208,2025-09-17,2026-07-17,0,
USHAMART,Downloaded,1372,2021-01-01,2026-07-17,0,
VTL,Downloaded,1372,2021-01-01,2026-07-17,0,
VBL,Downloaded,1372,2021-01-01,2026-07-17,0,
VEDL,UpToDate,1372,2021-01-01,2026-07-17,0,Already up to date
VIJAYA,Downloaded,1199,2021-09-14,2026-07-17,0,
VMM,Downloaded,394,2024-12-18,2026-07-17,0,
IDEA,Downloaded,1372,2021-01-01,2026-07-17,0,
VOLTAS,UpToDate,1372,2021-01-01,2026-07-17,0,Already up to date
WAAREEENER,Downloaded,429,2024-10-28,2026-07-17,0,
WELCORP,Downloaded,1372,2021-01-01,2026-07-17,0,
WELSPUNLIV,Downloaded,1372,2021-01-01,2026-07-17,0,
WHIRLPOOL,UpToDate,1372,2021-01-01,2026-07-17,0,Already up to date
WIPRO,UpToDate,1372,2021-01-01,2026-07-17,0,Already up to date
WOCKPHARMA,Downloaded,1372,2021-01-01,2026-07-17,0,
YESBANK,Downloaded,1372,2021-01-01,2026-07-17,0,
ZFCVINDIA,Downloaded,1372,2021-01-01,2026-07-17,0,
ZEEL,UpToDate,1372,2021-01-01,2026-07-17,0,Already up to date
ZENTEC,Downloaded,1372,2021-01-01,2026-07-17,0,
ZENSARTECH,Downloaded,1372,2021-01-01,2026-07-17,0,
ZYDUSLIFE,Downloaded,1372,2021-01-01,2026-07-17,0,
ZYDUSWELL,Downloaded,1372,2021-01-01,2026-07-17,0,
ECLERX,Downloaded,1372,2021-01-01,2026-07-17,0,
