Ticker,Status,Rows,EarliestDate,LatestDate,MissingValues,ErrorMessage
GABRIEL,Downloaded,1372,2021-01-01,2026-07-17,0,
GALLANTT,Downloaded,1371,2021-01-01,2026-07-17,0,
GRSE,UpToDate,1372,2021-01-01,2026-07-17,0,Already up to date
GICRE,Downloaded,1372,2021-01-01,2026-07-17,0,
GILLETTE,Downloaded,1372,2021-01-01,2026-07-17,0,
GLAND,UpToDate,1371,2021-01-01,2026-07-17,0,Already up to date
GLAXO,Downloaded,1372,2021-01-01,2026-07-17,0,
GLENMARK,Downloaded,1372,2021-01-01,2026-07-17,0,
MEDANTA,Downloaded,906,2022-11-18,2026-07-17,0,
GODIGIT,Downloaded,536,2024-05-23,2026-07-17,0,
GPIL,Downloaded,1372,2021-01-01,2026-07-17,0,
GODFRYPHLP,Downloaded,1372,2021-01-01,2026-07-17,0,
GODREJCP,UpToDate,1372,2021-01-01,2026-07-17,0,Already up to date
GODREJIND,Downloaded,1372,2021-01-01,2026-07-17,0,
GODREJPROP,Downloaded,1372,2021-01-01,2026-07-17,0,
GRANULES,Downloaded,1371,2021-01-01,2026-07-17,0,
GRAPHITE,Downloaded,1372,2021-01-01,2026-07-17,0,
GRASIM,UpToDate,1372,2021-01-01,2026-07-17,0,Already up to date
GRAVITA,Downloaded,1372,2021-01-01,2026-07-17,0,
GESHIP,Downloaded,1372,2021-01-01,2026-07-17,0,
FLUOROCHEM,Downloaded,1372,2021-01-01,2026-07-17,0,
GMDCLTD,Downloaded,1372,2021-01-01,2026-07-17,0,
HEG,Downloaded,1372,2021-01-01,2026-07-17,0,
HBLENGINE,Downloaded,1372,2021-01-01,2026-07-17,0,
HCLTECH,UpToDate,1372,2021-01-01,2026-07-17,0,Already up to date
HDBFS,Downloaded,261,2025-07-02,2026-07-17,0,
HDFCAMC,Downloaded,1372,2021-01-01,2026-07-17,0,
HDFCBANK,UpToDate,1372,2021-01-01,2026-07-17,0,Already up to date
HDFCLIFE,UpToDate,1372,2021-01-01,2026-07-17,0,Already up to date
HFCL,Downloaded,1372,2021-01-01,2026-07-17,0,
HAVELLS,UpToDate,1372,2021-01-01,2026-07-17,0,Already up to date
HEROMOTOCO,UpToDate,1372,2021-01-01,2026-07-17,0,Already up to date
HEXT,Downloaded,348,2025-02-19,2026-07-17,0,
HSCL,Downloaded,1372,2021-01-01,2026-07-17,0,
HINDALCO,UpToDate,1372,2021-01-01,2026-07-17,0,Already up to date
HAL,UpToDate,1372,2021-01-01,2026-07-17,0,Already up to date
HINDCOPPER,UpToDate,1372,2021-01-01,2026-07-17,0,Already up to date
HINDPETRO,Downloaded,1372,2021-01-01,2026-07-17,0,
HINDUNILVR,UpToDate,1372,2021-01-01,2026-07-17,0,Already up to date
HINDZINC,UpToDate,1372,2021-01-01,2026-07-17,0,Already up to date
POWERINDIA,Downloaded,1372,2021-01-01,2026-07-17,0,
HOMEFIRST,UpToDate,1349,2021-02-03,2026-07-17,0,Already up to date
HONASA,Downloaded,666,2023-11-07,2026-07-17,0,
HONAUT,Downloaded,1370,2021-01-01,2026-07-17,0,
HUDCO,UpToDate,1372,2021-01-01,2026-07-17,0,Already up to date
HYUNDAI,Downloaded,433,2024-10-22,2026-07-17,0,
ICICIBANK,UpToDate,1372,2021-01-01,2026-07-17,0,Already up to date
ICICIGI,Downloaded,1372,2021-01-01,2026-07-17,0,
ICICIAMC,Downloaded,144,2025-12-19,2026-07-17,0,
ICICIPRULI,Downloaded,1372,2021-01-01,2026-07-17,0,
IDBI,Downloaded,1372,2021-01-01,2026-07-17,0,
IDFCFIRSTB,UpToDate,1372,2021-01-01,2026-07-17,0,Already up to date
IFCI,Downloaded,1372,2021-01-01,2026-07-17,0,
IIFL,Downloaded,1372,2021-01-01,2026-07-17,0,
IRB,Downloaded,1372,2021-01-01,2026-07-17,0,
IRCON,Downloaded,1372,2021-01-01,2026-07-17,0,
ITCHOTELS,Downloaded,364,2025-01-29,2026-07-17,0,
ITC,UpToDate,1372,2021-01-01,2026-07-17,0,Already up to date
ITI,Downloaded,1372,2021-01-01,2026-07-17,0,
INDGN,Downloaded,544,2024-05-13,2026-07-17,0,
INDIACEM,Downloaded,1372,2021-01-01,2026-07-17,0,
INDIAMART,UpToDate,1372,2021-01-01,2026-07-17,0,Already up to date
INDIANB,Downloaded,1372,2021-01-01,2026-07-17,0,
